Incident,Call Date,Call Time,Location,Nature,Disposition,Report Number,District
2022377164,12/29/22,19:28:14,SAMANTHA CT,122C07 - OVERDOSE,R - WITH REPORT,2022-746445,3D2
2022376993,12/29/22,15:54:59,CRAIN HWY N,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022376927,12/29/22,15:04:22,PINEY ORCHARD PKWY/ODENTON RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-746411,5C3
2022376891,12/29/22,14:26:54,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022376843,12/29/22,13:09:20,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C3
2022376804,12/29/22,12:27:51,FAYWOOD CT,122C07 - OVERDOSE,R - WITH REPORT,2022-746398,2D3
2022376751,12/29/22,11:38:07,CHURCH CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,2022-746389,APD
2022376732,12/29/22,11:16:46,WESLEY RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B1
2022376684,12/29/22,10:26:26,CLARK RD,122C07 - OVERDOSE,R - WITH REPORT,2022-746381,5A2
2022376662,12/29/22,9:59:44,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+02
2022376518,12/29/22,6:50:26,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3D3
2022376361,12/29/22,0:06:54,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022376317,12/28/22,22:26:06,"ARUNDEL MILLS CIR, GAR",122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-746349,5.00E+02
2022376279,12/28/22,21:05:12,ARUNDEL MILLS CIR,122C07 - OVERDOSE,R - WITH REPORT,2022-746333,5.00E+02
2022376272,12/28/22,20:53:41,ERTTER DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A1
2022376052,12/28/22,16:27:49,SOLOMONS ISLAND RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A2
2022375982,12/28/22,15:27:18,SNUG HARBOR RD/CEDAR LN,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,4C2
2022375889,12/28/22,13:37:40,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C3
2022375454,12/28/22,1:59:51,RITCHIE HWY,122C07 - OVERDOSE,X - NO REPORT,,2A1
2022375447,12/28/22,1:48:09,WINBORNE DR,122C07 - OVERDOSE,R - WITH REPORT,2022-746231,2D3
2022375424,12/28/22,1:03:18,WHARF DR,122C07 - OVERDOSE,R - WITH REPORT,2022-746229,3A2
2022375377,12/27/22,23:48:56,220TH ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3A2
2022375339,12/27/22,22:28:19,FORT SMALLWOOD RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3A1
2022375253,12/27/22,20:26:56,HOSPITAL DR/ELVATON RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B2
2022375245,12/27/22,20:11:51,TALBOT RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4C3
2022375054,12/27/22,16:33:04,DOGWOOD RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B1
2022375015,12/27/22,15:58:47,WOODLAKE CT,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B2
2022375009,12/27/22,15:56:00,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+01
2022374835,12/27/22,12:39:06,ENFIELD WAY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C1
2022374813,12/27/22,12:12:29,GEORGE CLAUSS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C1
2022374757,12/27/22,11:19:23,MEDICAL PKWY,122C07 - OVERDOSE,R - WITH REPORT,2022-746140,4A1
2022374742,12/27/22,11:02:17, LAUREL FORT MEADE RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5A2
2022374710,12/27/22,10:12:11,BOYDS TURN RD/FRIENDSHIP RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4C3
2022374592,12/27/22,8:18:13,E BAY FRONT RD/SOLOMONS ISLAND RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4C3
2022374587,12/27/22,8:16:18,WINDING WOOD RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B1
2022374491,12/27/22,4:20:10,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C3
2022374474,12/27/22,3:14:29,OLD LINE AVE,122C07 - OVERDOSE,R - WITH REPORT,2022-746092,5A1
2022374361,12/26/22,22:54:45,SOUTH RIVER TER,122C07 - OVERDOSE,X - NO REPORT,,4B3
2022374360,12/26/22,22:52:03,CRAIN HWY S/EVERGREEN RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D1
2022374354,12/26/22,22:30:58,BRANDERMILL BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D1
2022374342,12/26/22,22:10:44,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B3
2022374263,12/26/22,20:19:26,ANNAPOLIS RD/GATEWAY BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C2
2022374202,12/26/22,18:54:03,ANNAPOLIS MALL,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022374198,12/26/22,18:44:43,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A3
2022373995,12/26/22,15:13:38,CHURCH RD/CARROLL RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3A1
2022373907,12/26/22,13:30:31,ELDRIDGE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022373883,12/26/22,12:48:47,PIKE RIDGE RD/SOLOMONS ISLAND RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,4B2
2022373884,12/26/22,12:48:11,SOLOMONS ISLAND RD/STEWART DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4B2
2022373856,12/26/22,12:02:59,MAIN ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4C1
2022373829,12/26/22,11:15:23,SB RT295/WB RT100,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A3
2022373793,12/26/22,10:28:35,SOUTHBRIDGE DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022373663,12/26/22,4:37:57,BON AIR AVE,122C07 - OVERDOSE,R - WITH REPORT,2022-746003,2A2
2022373643,12/26/22,2:40:01,CEDAR RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-746001,3C3
2022373603,12/26/22,0:14:16,LEDNURA RD/HAILE AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022373452,12/25/22,17:47:25,OLD MILL RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022373405,12/25/22,15:40:05,OAKLEIGH AVE,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745969,2B3
2022373304,12/25/22,10:41:29,5TH AVE SE,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D1
2022373275,12/25/22,9:13:22,CHESTNUT TRL,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D3
2022373260,12/25/22,8:13:14,1ST AVE,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D3
2022373245,12/25/22,7:24:38,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+02
2022373214,12/25/22,5:01:08,MORAINE DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A3
2022373026,12/24/22,20:46:25,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3B2
2022372984,12/24/22,19:17:13,SHREVE CT,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745918,5D1
2022372949,12/24/22,18:26:57,COMPROMISE ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,APD
2022372943,12/24/22,18:10:45,CRAIN HWY S,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D1
2022372853,12/24/22,15:26:11,WB US50 ONR NB I97/NB I97,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022372815,12/24/22,14:37:11,ARUNDEL MILLS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+03
2022372793,12/24/22,13:57:55,VALIANT CIR,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745891,3B2
2022372786,12/24/22,13:49:51,RITCHIE HWY,122C07 - OVERDOSE,X - NO REPORT,,2D2
2022372780,12/24/22,13:32:56,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+01
2022372781,12/24/22,13:31:35,MARSHALL RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B1
2022372750,12/24/22,12:52:59,OLD MILL RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022372686,12/24/22,11:24:17,WEST DR,122C07 - OVERDOSE,X - NO REPORT,,2D3
2022372673,12/24/22,11:01:31,WEST DR,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D3
2022372639,12/24/22,10:28:04,OLD MILL RD/VETERANS HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022372577,12/24/22,7:59:23,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+02
2022372529,12/24/22,4:49:37,BERKSHIRE DR,122C07 - OVERDOSE,X - NO REPORT,,4B1
2022372492,12/24/22,3:02:44,ADMIRAL COCHRANE DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A2
2022372386,12/23/22,23:13:13,ELLSWORTH TER/HERITAGE XING,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022372359,12/23/22,22:22:01,RITCHIE HWY,122C07 - OVERDOSE,R - WITH REPORT,2022-745840,2C1
2022372327,12/23/22,21:31:40,STAR STELLA DR,122C07 - OVERDOSE,R - WITH REPORT,2022-745833,5C3
2022372302,12/23/22,20:47:04,EB RT100/MAGOTHY BRIDGE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3A3
2022372276,12/23/22,20:05:12,CORRIDOR MARKETPLACE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A1
2022372248,12/23/22,19:34:05,HOLLIBEN RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745822,3C2
2022372234,12/23/22,19:10:35,DEEPNOTCH WAY,122C07 - OVERDOSE,R - WITH REPORT,2022-745818,5A2
2022372230,12/23/22,19:09:13,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745819,2A2
2022372220,12/23/22,18:57:34,MAXWELL V FRYE JR RD/VETERANS HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022372144,12/23/22,17:27:14,SB I97/BENFIELD BLVD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5C2
2022372124,12/23/22,17:08:45,GEORGIA AVE NW,122C07 - OVERDOSE,X - NO REPORT,,2C1
2022372104,12/23/22,16:45:35,GEORGE CLAUSS BLVD,122C07 - OVERDOSE,X - NO REPORT,,5C1
2022372063,12/23/22,16:16:58,CLIFTON AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3D1
2022372043,12/23/22,15:59:43,DEFENSE HWY,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745795,4A1
2022371350,12/22/22,23:27:28,HEARNE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A2
2022371331,12/22/22,22:58:49,ADMIRAL COCHRANE DR,122C07 - OVERDOSE,R - WITH REPORT,2022-745721,4A2
2022371283,12/22/22,21:08:33,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+02
2022371225,12/22/22,19:17:08,REECE RD/MEADE VILLAGE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B2
2022371168,12/22/22,17:55:47,DORSEY RD/COCA COLA DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A3
2022371143,12/22/22,17:24:12,MARBURY DR,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5D3
2022371136,12/22/22,17:15:30,BRIGADIER BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022371102,12/22/22,16:38:03,FOREST DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A3
2022370891,12/22/22,12:53:37,TOWN CENTER BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022370863,12/22/22,12:22:58,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022370802,12/22/22,10:45:54,CEDAR HILL RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022370433,12/22/22,1:12:19,CAMERYN PL,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022370372,12/21/22,23:40:30,CAMP MEADE RD N,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745588,2B2
2022370240,12/21/22,18:56:56,205TH ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3A2
2022370231,12/21/22,18:30:50,WARWICKSHIRE LN/HARRIS HEIGHTS AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022370063,12/21/22,15:50:21,ANNAPOLIS RD/BERGER ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022369965,12/21/22,14:29:48,REECE RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5C1
2022369926,12/21/22,14:15:39,RIPS DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4C1
2022369856,12/21/22,13:23:04,MOUNTAIN RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3A2
2022369830,12/21/22,12:56:39,BENFIELD RD/TRUCK HOUSE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C3
2022369723,12/21/22,11:42:56,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745481,5.00E+02
2022369720,12/21/22,11:41:06,JENNIFER RD/PAVILION PKWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022369679,12/21/22,10:54:59,GREEN HOLLY DR,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745478,3D2
2022369350,12/21/22,3:33:14,LAUREL FORT MEADE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A2
2022369163,12/20/22,22:26:34,MEADE VILLAGE CIR,122C07 - OVERDOSE,R - WITH REPORT,2022-745426,5B2
2022369107,12/20/22,20:45:03, RICHFIELD DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B2
2022369058,12/20/22,19:45:17,CHATHAM RD/11TH AVE W,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A3
2022368988,12/20/22,18:05:00,GEORGE CLAUSS BLVD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745405,5C1
2022368932,12/20/22,16:50:48,DORBA CT,122C07 - OVERDOSE,R - WITH REPORT,2022-745392,3C3
2022368904,12/20/22,16:23:17,RIVER RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A2
2022368888,12/20/22,16:15:51,RUSSETT GRN E/LAUREL FORT MEADE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A1
2022368870,12/20/22,16:02:31,SOLOMONS ISLAND RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745379,4C1
2022368822,12/20/22,15:13:18,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3D3
2022368780,12/20/22,14:32:04,TICK NECK RD,122C07 - OVERDOSE,R - WITH REPORT,2022-745369,3A3
2022368686,12/20/22,13:43:59,FAYWOOD AVE/BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022368617,12/20/22,12:44:27,DAVIDSONVILLE RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745342,5D2
2022368443,12/20/22,10:11:58,RITCHIE HWY/WB RT100,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D2
2022368381,12/20/22,9:16:42,RIVA RD,122C07 - OVERDOSE,X - NO REPORT,,4A2
2022368374,12/20/22,9:10:52,RITCHIE HWY/JUMPERS HOLE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022367997,12/19/22,23:35:58,RITCHIE HWY,122C07 - OVERDOSE,R - WITH REPORT,2022-745300,2A3
2022367909,12/19/22,21:06:23,MARTHAS VINEYARD LN,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3A2
2022367836,12/19/22,19:20:39,JUMPERS HOLE RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3C2
2022367551,12/19/22,14:29:01,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022367314,12/19/22,11:11:38,BELLE GROVE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B2
2022367274,12/19/22,10:42:12,FLORIDA AVE,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5C1
2022366830,12/18/22,23:50:27,STEVENS RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D2
2022366815,12/18/22,23:08:35,E CARTER RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745152,5A2
2022366772,12/18/22,21:20:39,PASADENA RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022366722,12/18/22,20:01:19,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+01
2022366670,12/18/22,18:15:58,SWEETBAY LN,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5A1
2022366631,12/18/22,17:07:47,WOOD ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A1
2022366596,12/18/22,16:12:16,RITCHIE HWY,122C07 - OVERDOSE,R - WITH REPORT,2022-745105,3C3
2022366470,12/18/22,12:40:41,WB RT100 ONR ARUNDEL MILLS/ARUNDEL MILLS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A3
2022366252,12/18/22,4:27:26,DEERFIELD CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B2
2022366237,12/18/22,3:49:10,YEARLING CT,122C07 - OVERDOSE,R - WITH REPORT,2022-745057,5C2
2022366122,12/18/22,0:42:27,ROSE ST,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5A1
2022366004,12/17/22,22:18:58,GEORGE WILLING AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022365990,12/17/22,21:55:54,SALISBURY RD,122C07 - OVERDOSE,R - WITH REPORT,2022-745034,4B3
2022365974,12/17/22,21:32:46,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+01
2022365967,12/17/22,21:25:40,STINCHCOMB RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3D1
2022365953,12/17/22,21:00:54,MEDICAL PKWY,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-745032,4A1
2022365943,12/17/22,20:47:36,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B2
2022365926,12/17/22,20:25:41,BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B2
2022365918,12/17/22,20:08:00,HARRIET DR,122C07 - OVERDOSE,X - NO REPORT,,2D3
2022365916,12/17/22,20:03:25,CARROLL RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022365902,12/17/22,19:44:02,NEW FREETOWN RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D3
2022365890,12/17/22,19:27:41,SOUTHAMPTON DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D3
2022365888,12/17/22,19:25:56,CAMP MEADE RD N,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B2
2022365798,12/17/22,17:12:16,CORRIDOR MARKETPLACE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A1
2022365757,12/17/22,16:23:37,JUMPERS HOLE RD/RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022365696,12/17/22,15:11:25,VETERANS HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022365653,12/17/22,14:06:36,CRAIN HWY N,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022365633,12/17/22,13:38:49,CANTEEN CIR,122C07 - OVERDOSE,X - NO REPORT,,5B1
2022365625,12/17/22,13:30:21,NEW CUT RD/UPTON RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C2
2022365616,12/17/22,13:20:02,ARUNDEL MILLS CIR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5.00E+02
2022365609,12/17/22,13:13:39,CRAIN HWY S,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2D1
2022365495,12/17/22,11:13:00,SHARPS POINT RD,122C07 - OVERDOSE,R - WITH REPORT,2022-744959,3D3
2022365271,12/17/22,4:59:47,VIRGINIA AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C1
2022365264,12/17/22,4:25:14,BARGER DR,122C07 - OVERDOSE,R - WITH REPORT,2022-744935,5D3
2022365161,12/17/22,1:16:36,HARVEY AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C1
2022365152,12/17/22,1:00:50,FORT SMALLWOOD RD,122C07 - OVERDOSE,X - NO REPORT,,3A1
2022365118,12/17/22,0:15:51,ANNAPOLIS RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5B1
2022365000,12/16/22,21:34:11,CRAIN HWY S,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D1
2022364682,12/16/22,15:29:03,LEISURE WAY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D2
2022364600,12/16/22,14:33:23,KUETHE RD/RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022364565,12/16/22,14:16:18,GENERALS HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022364495,12/16/22,13:26:31,NURSERY RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B1
2022364447,12/16/22,12:27:34,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022364411,12/16/22,11:46:39,TOWNE CENTRE BLVD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,4A2
2022364136,12/16/22,7:57:56,CRAIN HWY S,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-744819,3B1
2022363946,12/16/22,2:22:22,RITCHIE HWY/W ORDNANCE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022363911,12/16/22,0:47:56, COVE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4B1
2022363886,12/16/22,0:02:21,MONMOUTH AVE/BRANDYWINE AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C3
2022363841,12/15/22,22:06:23,ARUNDEL MILLS CIR,122C07 - OVERDOSE,X - NO REPORT,,5.00E+01
2022363775,12/15/22,19:53:16,LEISURE WAY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5D2
2022363694,12/15/22,17:51:27,NB I97/BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2B3
2022363526,12/15/22,14:50:50, HOSPITAL DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B2
2022363451,12/15/22,13:59:01,COMMANDERS WAY N,122C07 - OVERDOSE,R - WITH REPORT,2022-744718,3D2
2022363427,12/15/22,13:25:31,HAMMONDS LN,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A3
