Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2010-11,Allegany,ECKHART ALTERNATIVE SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,617 ",,,,,,,,
2011-12,Allegany,ECKHART ALTERNATIVE SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,740 ",,,,,,,,
2012-13,Allegany,ECKHART ALTERNATIVE SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,844 ",,,,,,,,
2007-08,Allegany,FORT HILL HIGH,243,43,18%,28,65%,15,35%," $5,013 "," $6,040 "," $9,176 ", * ," $6,261 ",,,,,,,,
2008-09,Allegany,FORT HILL HIGH,233,128,55%,64,50%,64,50%," $5,925 "," $6,709 "," $7,697 "," $6,214 "," $6,314 ",,,,,,,,
2009-10,Allegany,FORT HILL HIGH,203,106,52%,70,66%,36,34%," $6,940 "," $7,598 "," $7,939 "," $6,685 "," $6,464 ",,,,,,,,
2010-11,Allegany,FORT HILL HIGH,218,86,39%,59,69%,27,31%," $7,729 "," $7,908 "," $9,450 "," $7,745 "," $6,617 ",,,,,,,,
2011-12,Allegany,FORT HILL HIGH,149,88,59%,50,57%,38,43%," $7,092 "," $8,643 "," $9,455 "," $8,410 "," $6,740 ",,,,,,,,
2012-13,Allegany,FORT HILL HIGH,150,70,47%,42,60%,28,40%," $6,983 "," $7,436 "," $9,246 "," $5,829 "," $6,844 ",,,,,,,,
2013-14,Allegany,FORT HILL HIGH,142,74,52%,47,64%,27,37%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Allegany,FORT HILL HIGH,173,66,38%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Allegany,FORT HILL HIGH,143,72,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Allegany,FORT HILL HIGH,147,74,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Allegany,FORT HILL HIGH,154,80,52%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Allegany,FORT HILL HIGH,150,69,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Allegany,FORT HILL HIGH,136,63,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,260,53,20%,30,57%,23,43%," $5,559 "," $5,559 "," $8,400 ", * ," $6,261 ",,,,,,,,
2008-09,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,267,139,52%,84,60%,55,40%," $6,667 "," $7,722 "," $9,691 "," $5,390 "," $6,314 ",,,,,,,,
2009-10,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,234,117,50%,74,63%,43,37%," $6,278 "," $6,974 "," $7,629 "," $6,228 "," $6,464 ",,,,,,,,
2010-11,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,242,107,44%,62,58%,45,42%," $7,850 "," $7,384 "," $6,991 "," $8,095 "," $6,617 ",,,,,,,,
2011-12,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,151,96,64%,67,70%,29,30%," $7,516 "," $7,025 "," $7,336 "," $6,492 "," $6,740 ",,,,,,,,
2012-13,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,175,76,43%,55,72%,21,28%," $8,411 "," $8,220 "," $7,320 ", * ," $6,844 ",,,,,,,,
2013-14,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,147,81,55%,60,74%,21,26%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,188,79,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,180,103,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,138,83,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,182,108,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,145,88,61%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,157,94,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Allegany,TRANSITION PROGRAM AT CUMBERLAND,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,261 ",,,,,,,,
2008-09,Allegany,TRANSITION PROGRAM AT CUMBERLAND,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,314 ",,,,,,,,
2009-10,Allegany,TRANSITION PROGRAM AT CUMBERLAND,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,464 ",,,,,,,,
2010-11,Allegany,TRANSITION PROGRAM AT CUMBERLAND,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,617 ",,,,,,,,
2011-12,Allegany,TRANSITION PROGRAM AT CUMBERLAND,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,740 ",,,,,,,,
2012-13,Allegany,TRANSITION PROGRAM AT CUMBERLAND,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,844 ",,,,,,,,
2007-08,Allegany,TRANSITION PROGRAM AT FRIENDS AWARE,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,261 ",,,,,,,,
2008-09,Allegany,TRANSITION PROGRAM AT FRIENDS AWARE,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,314 ",,,,,,,,
2009-10,Allegany,TRANSITION PROGRAM AT FRIENDS AWARE,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,464 ",,,,,,,,
2007-08,Allegany,TRANSITION PROGRAM AT FROSTBURG,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,261 ",,,,,,,,
2008-09,Allegany,TRANSITION PROGRAM AT FROSTBURG,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,314 ",,,,,,,,
2007-08,Anne Arundel,ANNAPOLIS EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,ANNAPOLIS EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,ANNAPOLIS EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,ANNAPOLIS EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2007-08,Anne Arundel,ANNAPOLIS HIGH,349,164,47%,101,62%,63,38%," $6,944 "," $7,539 "," $9,242 "," $6,624 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,ANNAPOLIS HIGH,326,156,48%,83,53%,73,47%," $5,766 "," $6,549 "," $8,646 "," $5,665 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,ANNAPOLIS HIGH,359,183,51%,122,67%,61,33%," $6,455 "," $6,940 "," $10,690 "," $5,360 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,ANNAPOLIS HIGH,364,154,42%,90,58%,64,42%," $6,233 "," $7,077 "," $9,197 "," $6,226 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,ANNAPOLIS HIGH,339,149,44%,106,71%,43,29%," $8,124 "," $9,121 "," $10,978 "," $8,610 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,ANNAPOLIS HIGH,328,113,35%,79,70%,34,30%," $8,406 "," $9,136 "," $12,126 "," $7,480 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,ANNAPOLIS HIGH,325,143,44%,92,64%,51,36%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,ANNAPOLIS HIGH,345,114,33%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,ANNAPOLIS HIGH,410,185,45%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,ANNAPOLIS HIGH,441,186,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,ANNAPOLIS HIGH,414,190,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,ANNAPOLIS HIGH,388,196,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,ANNAPOLIS HIGH,457,193,42%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,ARUNDEL SR. HIGH,459,247,54%,148,60%,99,40%," $7,280 "," $7,517 "," $10,129 "," $6,028 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,ARUNDEL SR. HIGH,457,279,61%,161,58%,118,42%," $8,610 "," $8,970 "," $10,035 "," $6,564 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,ARUNDEL SR. HIGH,478,264,55%,159,60%,105,40%," $8,141 "," $9,188 "," $11,273 "," $6,545 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,ARUNDEL SR. HIGH,421,225,53%,142,63%,83,37%," $8,835 "," $10,381 "," $12,152 "," $7,010 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,ARUNDEL SR. HIGH,463,263,57%,181,69%,82,31%," $8,545 "," $9,204 "," $11,587 "," $8,113 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,ARUNDEL SR. HIGH,464,247,53%,182,74%,65,26%," $8,775 "," $10,008 "," $11,250 "," $8,803 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,ARUNDEL SR. HIGH,464,266,57%,183,69%,83,31%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,ARUNDEL SR. HIGH,488,240,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,ARUNDEL SR. HIGH,501,278,56%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,ARUNDEL SR. HIGH,510,292,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,ARUNDEL SR. HIGH,527,331,63%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,ARUNDEL SR. HIGH,483,285,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,ARUNDEL SR. HIGH,534,259,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,BROADNECK SENIOR HIGH,538,332,62%,243,73%,89,27%," $8,552 "," $9,323 "," $10,239 "," $6,542 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,BROADNECK SENIOR HIGH,493,294,60%,213,72%,81,28%," $8,190 "," $9,628 "," $10,852 "," $7,526 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,BROADNECK SENIOR HIGH,513,316,62%,227,72%,89,28%," $8,808 "," $9,359 "," $10,365 "," $5,806 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,BROADNECK SENIOR HIGH,504,320,64%,243,76%,77,24%," $9,673 "," $10,271 "," $11,460 "," $7,812 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,BROADNECK SENIOR HIGH,488,308,63%,227,74%,81,26%," $9,575 "," $10,860 "," $11,573 "," $9,211 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,BROADNECK SENIOR HIGH,513,302,59%,234,78%,68,23%," $9,869 "," $10,379 "," $12,510 "," $8,557 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,BROADNECK SENIOR HIGH,503,310,62%,232,75%,78,25%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,BROADNECK SENIOR HIGH,516,303,59%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,BROADNECK SENIOR HIGH,511,312,61%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,BROADNECK SENIOR HIGH,490,313,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,BROADNECK SENIOR HIGH,463,298,64%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,BROADNECK SENIOR HIGH,468,292,62%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,BROADNECK SENIOR HIGH,516,289,56%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,966 ",,,,,,,,
2011-12,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,114 ",,,,,,,,
2012-13,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $8,239 ",,,,,,,,
2013-14,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,CENTRAL SPECIAL SCHOOL,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,CHESAPEAKE HIGH,394,174,44%,110,63%,64,37%," $8,361 "," $9,849 "," $10,885 "," $6,723 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,CHESAPEAKE HIGH,428,224,52%,145,65%,79,35%," $9,165 "," $9,691 "," $11,254 "," $7,306 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,CHESAPEAKE HIGH,440,218,50%,150,69%,68,31%," $8,612 "," $10,075 "," $11,179 "," $6,659 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,CHESAPEAKE HIGH,410,221,54%,156,71%,65,29%," $9,514 "," $10,870 "," $11,716 "," $8,861 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,CHESAPEAKE HIGH,360,173,48%,117,68%,56,32%," $10,151 "," $11,144 "," $11,951 "," $8,866 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,CHESAPEAKE HIGH,388,178,46%,138,78%,40,23%," $11,224 "," $13,940 "," $13,967 "," $12,555 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,CHESAPEAKE HIGH,392,186,47%,143,77%,43,23%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,CHESAPEAKE HIGH,338,149,44%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,CHESAPEAKE HIGH,339,156,46%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,CHESAPEAKE HIGH,325,155,48%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,CHESAPEAKE HIGH,325,165,51%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,CHESAPEAKE HIGH,315,155,49%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,CHESAPEAKE HIGH,325,97,30%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2013-14,Anne Arundel,CHESAPEAKE SCIENCE POINT,30,23,77%,^^,^^,*,*, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,CHESAPEAKE SCIENCE POINT,34,17,50%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,CHESAPEAKE SCIENCE POINT,33,24,73%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,CHESAPEAKE SCIENCE POINT,60,36,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,CHESAPEAKE SCIENCE POINT,54,44,82%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,CHESAPEAKE SCIENCE POINT,57,49,86%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,CHESAPEAKE SCIENCE POINT,50,28,56%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Anne Arundel,CROFTON MIDDLE,^^,^^,^^,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2007-08,Anne Arundel,GLEN BURNIE EVENING HIGH,34,*,*,*,*,*,*," $6,270 ", * , * , * ," $7,537 ",,,,,,,,
2008-09,Anne Arundel,GLEN BURNIE EVENING HIGH,36,*,*,*,*,*,*," $7,918 ", * , * , * ," $7,601 ",,,,,,,,
2009-10,Anne Arundel,GLEN BURNIE EVENING HIGH,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $7,782 ",,,,,,,,
2010-11,Anne Arundel,GLEN BURNIE EVENING HIGH,34,*,*,*,*,*,*," $4,775 ", * , * , * ," $7,966 ",,,,,,,,
2007-08,Anne Arundel,GLEN BURNIE SENIOR,462,156,34%,82,53%,74,47%," $7,781 "," $8,672 "," $9,346 "," $7,778 "," $7,537 ",,,,,,,,
2008-09,Anne Arundel,GLEN BURNIE SENIOR,371,141,38%,71,50%,70,50%," $7,604 "," $7,994 "," $10,252 "," $7,040 "," $7,601 ",,,,,,,,
2009-10,Anne Arundel,GLEN BURNIE SENIOR,379,132,35%,69,52%,63,48%," $7,780 "," $8,429 "," $9,264 "," $6,609 "," $7,782 ",,,,,,,,
2010-11,Anne Arundel,GLEN BURNIE SENIOR,374,124,33%,52,42%,72,58%," $7,643 "," $8,902 "," $11,312 "," $8,138 "," $7,966 ",,,,,,,,
2011-12,Anne Arundel,GLEN BURNIE SENIOR,384,109,28%,59,54%,50,46%," $7,801 "," $7,959 "," $8,867 "," $7,359 "," $8,114 ",,,,,,,,
2012-13,Anne Arundel,GLEN BURNIE SENIOR,417,108,26%,59,55%,49,45%," $9,072 "," $9,188 "," $10,444 "," $8,669 "," $8,239 ",,,,,,,,
2013-14,Anne Arundel,GLEN BURNIE SENIOR,373,116,31%,70,60%,46,40%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Anne Arundel,GLEN BURNIE SENIOR,399,103,26%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Anne Arundel,GLEN BURNIE SENIOR,425,137,32%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Anne Arundel,GLEN BURNIE SENIOR,391,136,35%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Anne Arundel,GLEN BURNIE SENIOR,394,123,31%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Anne Arundel,GLEN BURNIE SENIOR,417,155,37%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
