cohort_year,local_school_system,school,high_school_graduates,enrollment,percent_of_high_school_graduates_enrolled
2019-20,Harford,PATTERSON MILL HIGH SCHOOL,201,134,67
2019-20,Howard,ATHOLTON HIGH,367,252,69
2019-20,Howard,CENTENNIAL HIGH,415,323,78
2019-20,Howard,GLENELG HIGH,307,200,65
2019-20,Howard,HAMMOND HIGH,307,162,53
2019-20,Howard,HOWARD HIGH,481,339,71
2019-20,Howard,LONG REACH HIGH,397,218,55
2019-20,Howard,MARRIOTTS RIDGE HIGH,356,273,77
2019-20,Howard,MOUNT HEBRON HIGH,404,293,73
2019-20,Howard,OAKLAND MILLS HIGH,307,138,45
2019-20,Howard,RESERVOIR HIGH,335,224,67
2019-20,Howard,RIVER HILL HIGH,307,222,72
2019-20,Howard,WILDE LAKE HIGH,312,174,56
2019-20,Kent,KENT COUNTY HIGH,133,51,38
2019-20,Montgomery,ALBERT EINSTEIN HIGH,373,181,49
2019-20,Montgomery,BETHESDA-CHEVY CHASE HIGH,501,352,70
2019-20,Montgomery,CLARKSBURG HIGH,561,311,55
2019-20,Montgomery,COL. ZADOK MAGRUDER HIGH,380,201,53
2019-20,Montgomery,DAMASCUS HIGH,286,183,64
2019-20,Montgomery,GAITHERSBURG HIGH,538,196,36
2019-20,Montgomery,JAMES HUBERT BLAKE HIGH,429,262,61
2019-20,Montgomery,JOHN F. KENNEDY HIGH,375,128,34
2019-20,Montgomery,MONTGOMERY BLAIR HIGH,748,396,53
2019-20,Montgomery,NORTHWEST HIGH,582,357,61
2019-20,Montgomery,NORTHWOOD HIGH SCHOOL,420,170,41
2019-20,Montgomery,PAINT BRANCH HIGH,467,287,62
2019-20,Montgomery,POOLESVILLE HIGH,277,210,76
2019-20,Montgomery,QUINCE ORCHARD HIGH,521,342,66
2019-20,Montgomery,RICHARD MONTGOMERY HIGH,635,428,67
2019-20,Montgomery,ROCKVILLE HIGH,352,190,54
2019-20,Montgomery,SENECA VALLEY HIGH,247,113,46
2019-20,Montgomery,SHERWOOD HIGH,452,295,65
2019-20,Montgomery,SPRINGBROOK HIGH,436,194,45
2019-20,Montgomery,THOMAS S. WOOTTON HIGH,525,415,79
2019-20,Montgomery,WALT WHITMAN HIGH,504,328,65
2019-20,Montgomery,WALTER JOHNSON HIGH,599,393,66
2019-20,Montgomery,WATKINS MILL HIGH,377,151,40
2019-20,Montgomery,WHEATON HIGH,470,222,47
2019-20,Montgomery,WINSTON CHURCHILL HIGH,562,414,74
2019-20,Prince George's,ACADEMY OF HEALTH SCIENCES AT PGCC,111,79,71
2019-20,Prince George's,BLADENSBURG HIGH,386,68,18
2019-20,Prince George's,BOWIE HIGH,588,311,53
2019-20,Prince George's,CENTRAL HIGH,165,58,35
2019-20,Prince George's,CHARLES HERBERT FLOWERS HIGH SCHOOL,497,255,51
2019-20,Prince George's,CHESAPEAKE MATH AND IT PUBLIC CHARTER,87,64,74
2019-20,Prince George's,CHESAPEAKE MATH AND IT SOUTH PUBLIC CHARTER,81,52,64
2019-20,Prince George's,COLLEGE PARK ACADEMY,60,39,65
2019-20,Prince George's,CROSSLAND HIGH,203,39,19
2019-20,Prince George's,"DR. HENRY A. WISE, JR. HIGH SCHOOL",506,205,41
2019-20,Prince George's,DUVAL HIGH,404,151,37
2019-20,Prince George's,ELEANOR ROOSEVELT HIGH,621,359,58
2019-20,Prince George's,FAIRMONT HEIGHTS HIGH,172,53,31
2019-20,Prince George's,FREDERICK DOUGLASS HIGH,201,99,49
2019-20,Prince George's,FRIENDLY HIGH,170,61,36
2019-20,Prince George's,GWYNN PARK HIGH,227,80,35
2019-20,Prince George's,HIGH POINT HIGH,535,120,22
2019-20,Prince George's,INTERNATIONAL HIGH SCHOOL @ LARGO,78,14,18
2019-20,Prince George's,LARGO HIGH SCHOOL,183,74,40
2019-20,Prince George's,LAUREL HIGH,380,156,41
2019-20,Prince George's,NORTHWESTERN HIGH,478,128,27
2019-20,Prince George's,OXON HILL HIGH,346,157,45
2019-20,Prince George's,PARKDALE HIGH,433,137,32
2019-20,Prince George's,POTOMAC HIGH,244,54,22
2019-20,Prince George's,SUITLAND HIGH,394,122,31
2019-20,Prince George's,SURRATTSVILLE HIGH,177,50,28
2019-20,Queen Anne's,KENT ISLAND HIGH SCHOOL,327,186,57
2019-20,Queen Anne's,QUEEN ANNE*S COUNTY HIGH SCHOOL,281,134,48
2019-20,Somerset,CRISFIELD HIGH SCHOOL,67,20,30
2019-20,Somerset,WASHINGTON HIGH SCHOOL,78,16,21
2019-20,St. Mary's,CHOPTICON HIGH,372,125,34
2019-20,St. Mary's,GREAT MILLS HIGH,343,109,32
2019-20,St. Mary's,LEONARDTOWN HIGH,478,246,52
2019-20,Talbot,EASTON HIGH,316,133,42
2019-20,Talbot,ST. MICHAELS MIDDLE/HIGH SCHOOL,60,32,53
2019-20,Washington,BARBARA INGRAM SCHOOL FOR THE ARTS,76,52,68
2019-20,Washington,BOONSBORO HIGH,189,104,55
2019-20,Washington,CLEAR SPRING HIGH,85,35,41
2019-20,Washington,NORTH HAGERSTOWN HIGH,289,126,44
2019-20,Washington,SMITHSBURG SR. HIGH,157,69,44
2019-20,Washington,SOUTH HAGERSTOWN SR HIGH,252,92,37
2019-20,Washington,WASHINGTON COUNTY TECHNICAL HIGH,304,91,30
2019-20,Washington,WILLIAMSPORT HIGH,191,79,41
2019-20,Wicomico,JAMES M. BENNETT HIGH,326,127,39
2019-20,Wicomico,MARDELA MIDDLE & HIGH,85,38,45
2019-20,Wicomico,PARKSIDE HIGH,242,119,49
2019-20,Wicomico,WICOMICO HIGH,231,75,33
2019-20,Worcester,POCOMOKE HIGH,92,31,34
2019-20,Worcester,SNOW HILL HIGH,66,32,49
2019-20,Worcester,STEPHEN DECATUR HIGH,289,128,44
