date,location,county
2022-02-19,"247 CAROLINE ST CHARLESTOWN, MD",Cecil
2022-09-26,"25 AUGUSTINE HERMAN ELKTON, MD",Cecil
2022-12-25,"25 NORTH CT NORTH EAST, MD",Cecil
2022-07-29,"25 WEED LN ELKTON, MD",Cecil
2022-08-05,"250 BELLE HILL RD ELKTON, MD",Cecil
2022-11-09,"2500 PULASKI HWY NORTH EAST, MD",Cecil
2022-11-07,"2500 PULASKI HWY NORTH EAST, MD",Cecil
2022-09-05,"2500 WEST CREEK VILLAGE ELKTON, MD",Cecil
2022-03-02,"251 MACKALL ST ELKTON, MD",Cecil
2022-08-25,"2542 PULASKI HWY NORTH EAST, MD",Cecil
2022-08-15,"2556 PULASKI HWY NORTH EAST, MD",Cecil
2022-06-23,"257 MACKALL ST ELKTON, MD",Cecil
2022-01-10,"259 BELLE HILL RD ELKTON, MD",Cecil
2022-03-14,"259 E MAIN ST ELKTON, MD",Cecil
2022-10-25,"261 MACKALL ST ELKTON, MD",Cecil
2022-08-28,"261 W MAIN ST ELKTON, MD",Cecil
2022-09-13,"262 BELLE HILL RD ELKTON, MD",Cecil
2022-09-25,"262 BELLE HILL RD ELKTON, MD",Cecil
2022-09-21,"262 BELLE HILL RD ELKTON, MD",Cecil
2022-01-20,"262 BELLE HILL RD ELKTON, MD",Cecil
2022-11-03,"262 BELLE HILL RD ELKTON, MD",Cecil
2022-01-09,"262 BELLE HILL RD ELKTON, MD",Cecil
2022-07-01,"27 MAY ST NORTH EAST, MD",Cecil
2022-07-29,"2846 NORTH EAST RD NORTH EAST, MD",Cecil
2022-08-28,"29 PINDER AVE ELKTON, MD",Cecil
2022-07-23,"29 SALVATION CIR NORTH EAST, MD",Cecil
2022-05-21,"291 E PULASKI HWY ELKTON, MD",Cecil
2022-06-22,"291 E PULASKI HWY ELKTON, MD",Cecil
2022-06-02,"291 E PULASKI HWY ELKTON, MD",Cecil
2022-03-11,"291 E PULASKI HWY ELKTON, MD",Cecil
2022-06-06,"291 E PULASKI HWY ELKTON, MD",Cecil
2022-05-22,"291 E PULASKI HWY ELKTON, MD",Cecil
2022-12-03,"295 MOLITOR RD ELKTON, MD",Cecil
2022-06-18,"299 E PULASKI HWY ELKTON, MD",Cecil
2022-02-01,"3 CENTRAL DR PORT DEPOSIT, MD",Cecil
2022-08-02,"3 HATTERAS CT NORTH EAST, MD",Cecil
2022-12-11,"3 JESSE BOYD CIR ELKTON, MD",Cecil
2022-08-07,"3 MARILYN DR NORTH EAST, MD",Cecil
2022-09-19,"3 ROBERTS ST EARLEVILLE, MD",Cecil
2022-08-30,"3 WALTER BOULDEN ST ELKTON, MD",Cecil
2022-01-27,"30 RISING SUN TOWN CTR RISING SUN, MD",Cecil
2022-01-09,"300 ALTHAM LN NORTH EAST, MD",Cecil
2022-07-05,"300 BIG ELK MALL ELKTON, MD",Cecil
2022-08-27,"300 GREENWOOD ST ELKTON, MD",Cecil
2022-11-12,"301 NEWARK AVE ELKTON, MD",Cecil
2022-08-13,"302 CHERRY ST NORTH EAST, MD",Cecil
2022-09-03,"302 W PULASKI HWY ELKTON, MD",Cecil
2022-05-27,"302 W PULASKI HWY ELKTON, MD",Cecil
2022-08-07,"302 W PULASKI HWY ELKTON, MD",Cecil
2022-05-21,"302 W PULASKI HWY ELKTON, MD",Cecil
2022-02-28,"304 BELLE HILL RD ELKTON, MD",Cecil
2022-05-20,"304 E PULASKI HWY ELKTON, MD",Cecil
2022-11-17,"305 HOLLINGSWORTH ST ELKTON, MD",Cecil
2022-03-19,"307 RUSTIC CT PERRYVILLE, MD",Cecil
2022-07-15,"31 MULE DEER CT ELKTON, MD",Cecil
2022-01-09,"31 WARDSON DR NORTH EAST, MD",Cecil
2022-09-11,"310 ABBOTT DR ELKTON, MD",Cecil
2022-07-20,"310 W MAIN ST RISING SUN, MD",Cecil
2022-08-21,"312 BUTTONWOODS RD ELKTON, MD",Cecil
2022-07-19,"312 N SAINT AUGUSTINE R CHESAPEAKE CITY, MD",Cecil
2022-02-26,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-03-03,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-05-24,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-08-22,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-12-19,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-08-02,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-01-15,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-04-07,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-07-04,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-10-17,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-10-31,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-12-02,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-06-10,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-04-30,"314 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-01-25,"314 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-02-22,"32 BRER RABBIT RD RISING SUN, MD",Cecil
2022-07-09,"32 COX LN ELKTON, MD",Cecil
2022-11-25,"32 TARKKA LN NORTH EAST, MD",Cecil
2022-10-11,"320 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-08-05,"320 W CLAIBORNE RD NORTH EAST, MD",Cecil
2022-05-27,"329 HORSESHOE RD RISING SUN, MD",Cecil
2022-05-31,"329 HORSESHOE RD RISING SUN, MD",Cecil
2022-01-29,"3301 SINGERLY RD ELKTON, MD",Cecil
2022-09-27,"332 OLD BAYVIEW RD NORTH EAST, MD",Cecil
2022-08-22,"34 BRANTWOOD DR ELKTON, MD",Cecil
2022-06-14,"34 BROMBY CT RISING SUN, MD",Cecil
2022-04-11,"34 PEARL ST RISING SUN, MD",Cecil
2022-05-26,"350 E PULASKI HWY ELKTON, MD",Cecil
2022-11-05,"36 CECIL RD EARLEVILLE, MD",Cecil
2022-09-04,"363 ROWLANDSVILLE RD CONOWINGO, MD",Cecil
2022-11-19,"368 FRIENDSHIP RD ELKTON, MD",Cecil
2022-07-07,"369 BARON RD NORTH EAST, MD",Cecil
2022-02-22,"37 PEAR TREE LN COLORA, MD",Cecil
2022-07-14,"370 OLD MILL RD CONOWINGO, MD",Cecil
2022-09-20,"379 CONOWINGO RD CONOWINGO, MD",Cecil
2022-05-23,"380 KIRK RD ELKTON, MD",Cecil
2022-11-24,"383 MOUNT ZOAR RD CONOWINGO, MD",Cecil
2022-03-25,"4 MORGAN CT NORTH EAST, MD",Cecil
2022-05-16,"40 BLUFF RD EARLEVILLE, MD",Cecil
2022-01-05,"401 NORTH ST ELKTON, MD",Cecil
2022-02-02,"401 NORTH ST ELKTON, MD",Cecil
2022-06-08,"401 NORTH ST ELKTON, MD",Cecil
2022-06-08,"407 COW LN ELKTON, MD",Cecil
2022-12-21,"408 CHAMPLAIN RD NORTH EAST, MD",Cecil
2022-02-10,"408 NORTH ST ELKTON, MD",Cecil
2022-04-14,"408 NORTH ST ELKTON, MD",Cecil
2022-09-26,"414 CHESAPEAKE RD CHARLESTOWN, MD",Cecil
2022-02-05,"417 CHAMPLAIN RD NORTH EAST, MD",Cecil
2022-08-16,"42 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-10-28,"42 STONEY CHASE DR ELKTON, MD",Cecil
2022-12-27,"420 NORTH ST ELKTON, MD",Cecil
2022-03-29,"421 W PULASKI HWY ELKTON, MD",Cecil
2022-12-24,"425 E CECIL AVE NORTH EAST, MD",Cecil
2022-07-21,"425 N MAULDIN AVE NORTH EAST, MD",Cecil
2022-06-04,"425 N MAULDIN AVE NORTH EAST, MD",Cecil
2022-09-01,"427 RAZOR STRAP RD NORTH EAST, MD",Cecil
2022-08-27,"43 PEARL ST RISING SUN, MD",Cecil
2022-05-21,"435 CHAMPLAIN RD NORTH EAST, MD",Cecil
2022-05-21,"435 CHAMPLAIN RD NORTH EAST, MD",Cecil
2022-08-08,"440 UNION CHURCH RD ELKTON, MD",Cecil
2022-11-18,"45 MAPLE SHADE LN ELKTON, MD",Cecil
2022-03-26,"452 CHAMPLAIN RD NORTH EAST, MD",Cecil
2022-05-23,"452 CHAMPLAIN RD NORTH EAST, MD",Cecil
2022-01-13,"47 CROSS KEYS RD NORTH EAST, MD",Cecil
2022-03-06,"47 FERROUS CT NORTH EAST, MD",Cecil
2022-02-06,"475 N MAULDIN AVE NORTH EAST, MD",Cecil
2022-07-22,"479 ELK MILLS RD ELKTON, MD",Cecil
2022-08-25,"479 NORTH EAST RD NORTH EAST, MD",Cecil
2022-10-25,"485 N MAULDIN AVE NORTH EAST, MD",Cecil
2022-05-09,"5 MAGNOLIA DR ELKTON, MD",Cecil
2022-11-01,"5 SALEM CT NORTH EAST, MD",Cecil
2022-11-29,"500 LANDING LN ELKTON, MD",Cecil
2022-11-20,"500 MECHANICS VALLE NORTH EAST, MD",Cecil
2022-09-02,"500 NORTH EAST PLZ NORTH EAST, MD",Cecil
2022-04-26,"503 MOUNT ZOAR RD CONOWINGO, MD",Cecil
2022-06-29,"51 ADMIRALS WAY ELKTON, MD",Cecil
2022-07-25,"51 GUILFORD CT NORTH EAST, MD",Cecil
2022-01-18,"514 FRONT ST PERRYVILLE, MD",Cecil
2022-06-02,"5288 PULASKI HWY PERRYVILLE, MD",Cecil
2022-01-02,"5288 PULASKI HWY PERRYVILLE, MD",Cecil
2022-11-19,"5288 PULASKI HWY PERRYVILLE, MD",Cecil
2022-08-09,"53 MARY JANE LN ELKTON, MD",Cecil
2022-01-29,"53 MULE DEER CT ELKTON, MD",Cecil
2022-08-16,"533 NOTTINGHAM RD ELKTON, MD",Cecil
2022-08-11,"5443 PULASKI HWY PERRYVILLE, MD",Cecil
2022-06-21,"55 NATCHEZ WAY RISING SUN, MD",Cecil
2022-04-06,"56 PORTER RD NORTH EAST, MD",Cecil
2022-04-18,"57 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-07-08,"58 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-08-01,"58 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-05-22,"6 CYPRESS DR NORTH EAST, MD",Cecil
2022-10-21,"6 WOODSIDE DR CONOWINGO, MD",Cecil
2022-06-02,"6 WOODSIDE DR CONOWINGO, MD",Cecil
2022-08-14,"600 ROWLAND DR PORT DEPOSIT, MD",Cecil
2022-06-16,"6000 TURKEY POINT RD NORTH EAST, MD",Cecil
2022-10-14,"602 NORTH ST ELKTON, MD",Cecil
2022-04-11,"608 ABBOTT DR ELKTON, MD",Cecil
2022-05-03,"609 NORTH ST ELKTON, MD",Cecil
2022-10-24,"611 STONEGATE BLVD ELKTON, MD",Cecil
2022-04-28,"615 E PULASKI HWY ELKTON, MD",Cecil
2022-03-25,"615 E PULASKI HWY ELKTON, MD",Cecil
2022-10-17,"615 E PULASKI HWY ELKTON, MD",Cecil
2022-05-14,"615 UNION CHURCH RD ELKTON, MD",Cecil
2022-01-28,"62 SYCAMORE DR NORTH EAST, MD",Cecil
2022-01-12,"65 ANDREA DR CHESAPEAKE CITY, MD",Cecil
2022-05-17,"660 TRINITY CHURCH RD NORTH EAST, MD",Cecil
2022-08-29,"69 COKESBURY RD PORT DEPOSIT, MD",Cecil
2022-07-16,"7 CIRCLE AVE ELKTON, MD",Cecil
2022-02-08,"7 KENNETH DR RISING SUN, MD",Cecil
2022-09-18,"701 N BRIDGE ST ELKTON, MD",Cecil
2022-06-08,"702 PARKLANDS LOOP CECILTON, MD",Cecil
2022-01-01,"705 2ND ST NORTH EAST, MD",Cecil
2022-07-30,"71 ARRANTS RD NORTH EAST, MD",Cecil
2022-07-07,"71 KEITHLEY LN ELKTON, MD",Cecil
2022-01-30,"71 NORTH EAST RD NORTH EAST, MD",Cecil
2022-05-27,"71 NORTH EAST RD NORTH EAST, MD",Cecil
2022-06-04,"71 NORTH EAST RD NORTH EAST, MD",Cecil
2022-05-28,"718 SUSQUEHANNA AVE PERRYVILLE, MD",Cecil
2022-01-21,"73 CODJUS DR RISING SUN, MD",Cecil
2022-06-08,"75 CARTER RD ELKTON, MD",Cecil
2022-02-15,"75 NORTH EAST RD NORTH EAST, MD",Cecil
2022-09-13,"766 DOCTOR JACK RD PORT DEPOSIT, MD",Cecil
2022-07-30,"77 MIMOSA LN ELKTON, MD",Cecil
2022-02-21,"785 HOWERY LN NORTH EAST, MD",Cecil
2022-03-16,"79 HOLLINGSWORTH MN ELKTON, MD",Cecil
2022-04-02,"79 PAPER MILL RD ELKTON, MD",Cecil
2022-01-08,"8 BARKSDALE CT ELKTON, MD",Cecil
2022-08-23,"8 MONTGOMERY LN ELKTON, MD",Cecil
2022-11-23,"81 LONG BEACH RD CHARLESTOWN, MD",Cecil
2022-05-31,"84 HONEYSUCKLE DR PORT DEPOSIT, MD",Cecil
2022-02-22,"86 COX LN ELKTON, MD",Cecil
2022-04-16,"86 COX LN ELKTON, MD",Cecil
2022-10-03,"880 MOUNT NEBO RD CHESAPEAKE CITY, MD",Cecil
2022-07-14,"9 MALLARD DR CHESAPEAKE CITY, MD",Cecil
2022-03-11,"914 N BRIDGE ST ELKTON, MD",Cecil
2022-01-24,"940 FRENCHTOWN RD PERRYVILLE, MD",Cecil
2022-06-07,"95 RED HILL RD ELKTON, MD",Cecil
2022-06-29,"95 RED HILL RD ELKTON, MD",Cecil
2022-02-12,"96 I95 SB HWY NORTH EAST, MD",Cecil
2022-06-18,"98 COX LN ELKTON, MD",Cecil
2022-11-04,"99 BOHEMIA LN EARLEVILLE, MD",Cecil
2022-10-21,"99 RIDGE RUN RD NORTH EAST, MD",Cecil
2022-02-22,"202 W JACOBS WAY CECILTON, MD",Cecil
2022-06-14,"163 BASIL AVE CHESAPEAKE CITY, MD",Cecil
2022-11-25,"119 BLARNEY LN CONOWINGO, MD",Cecil
2022-02-05,"163 ROWLANDSVILLE RD CONOWINGO, MD",Cecil
2022-06-02,"18 PARK WAY CONOWINGO, MD",Cecil
2022-04-21,"197 CONOWINGO RD CONOWINGO, MD",Cecil
2022-02-17,"21 DEER TRAIL LN CONOWINGO, MD",Cecil
2022-04-12,"21 DEER TRAIL LN CONOWINGO, MD",Cecil
2022-10-21,"6 WOODSIDE DR CONOWINGO, MD",Cecil
2022-08-29,"20 WOODSIDE AVE EARLEVILLE, MD",Cecil
2022-06-01,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-06-10,"314 GROVE NECK RD EARLEVILLE, MD",Cecil
2022-10-15,"EDER PARK 1 ELKTON, MD",Cecil
2022-06-01,"EDER PARK 1 ELKTON, MD",Cecil
2022-10-14,"10 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-05-21,"100 PHEASANT DR ELKTON, MD",Cecil
2022-09-22,"100-BLK CHURCH ST ELKTON, MD",Cecil
2022-08-30,"101 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-08-15,"1057 SINGERLY RD ELKTON, MD",Cecil
2022-08-01,"106 HOLLINGSWORTH M ELKTON, MD",Cecil
2022-03-26,"107 BRADLEY RUN RD ELKTON, MD",Cecil
2022-02-07,"107 HIGHLAND DR ELKTON, MD",Cecil
2022-02-02,"11 MANASSAS DR ELKTON, MD",Cecil
2022-02-19,"11 PINE VALLEY RD ELKTON, MD",Cecil
2022-11-27,"110 GOOSENECK CT ELKTON, MD",Cecil
2022-05-14,"111 HUNTSMAN DR ELKTON, MD",Cecil
2022-07-06,"1112 LEEDS RD ELKTON, MD",Cecil
2022-04-29,"114 MILESTONE RD ELKTON, MD",Cecil
2022-08-12,"115 BEECH DR ELKTON, MD",Cecil
2022-05-06,"115 N EDGEWOOD DR ELKTON, MD",Cecil
2022-07-20,"115 WILLOW DR ELKTON, MD",Cecil
2022-01-20,"1160 OLDFIELD POINT RD ELKTON, MD",Cecil
2022-07-06,"118 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-03-25,"120 BROWN ST ELKTON, MD",Cecil
2022-05-23,"120 W MAIN ST ELKTON, MD",Cecil
2022-11-04,"1204 STONEGATE BLVD ELKTON, MD",Cecil
2022-05-01,"1207 LEEDS RD ELKTON, MD",Cecil
2022-04-05,"127 MAPLE AVE ELKTON, MD",Cecil
2022-05-07,"128 E VILLAGE RD ELKTON, MD",Cecil
2022-05-21,"128 E VILLAGE RD ELKTON, MD",Cecil
2022-08-20,"1303 PEBBLE BEACH D ELKTON, MD",Cecil
2022-08-28,"1303 PEBBLE BEACH D ELKTON, MD",Cecil
2022-01-11,"131 FRIENDSHIP RD ELKTON, MD",Cecil
2022-10-10,"133 KIRKCALDY DR ELKTON, MD",Cecil
2022-10-14,"135 E VILLAGE RD ELKTON, MD",Cecil
2022-07-25,"135 E VILLAGE RD ELKTON, MD",Cecil
2022-01-12,"138 PATTON WAY ELKTON, MD",Cecil
2022-09-19,"15 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-05-20,"151 S TARTAN DR ELKTON, MD",Cecil
2022-01-28,"153 HOLLINGSWORTH M ELKTON, MD",Cecil
2022-06-13,"155 E HIGH ST ELKTON, MD",Cecil
2022-11-05,"156 THOMAS JEFFERSON TE ELKTON, MD",Cecil
2022-11-03,"162 W MAIN ST ELKTON, MD",Cecil
2022-11-03,"176 HOLLINGSWORTH M ELKTON, MD",Cecil
2022-06-18,"1888 E OLD PHILADEL ELKTON, MD",Cecil
2022-08-16,"19 GLEN CREEK CIR ELKTON, MD",Cecil
2022-01-21,"19 SHERYL DR ELKTON, MD",Cecil
2022-05-26,"1936 E OLD PHILADELPHIA ELKTON, MD",Cecil
2022-06-04,"200 BRUCE CT ELKTON, MD",Cecil
2022-12-28,"200 SYCAMORE RD ELKTON, MD",Cecil
2022-11-20,"202 PARKWAY ELKTON, MD",Cecil
2022-03-08,"207 E HIGH ST ELKTON, MD",Cecil
2022-08-25,"209 GILPIN AVE ELKTON, MD",Cecil
2022-07-22,"210 E HIGH ST ELKTON, MD",Cecil
2022-12-02,"2102 STONEGATE BLVD ELKTON, MD",Cecil
2022-11-04,"211 DOUGLAS ST ELKTON, MD",Cecil
2022-08-26,"2143 BLUEBALL RD ELKTON, MD",Cecil
2022-10-10,"216 PARK CIR ELKTON, MD",Cecil
2022-11-03,"216 PARK CIR ELKTON, MD",Cecil
2022-06-14,"217 HOLLINGSWORTH MNR ELKTON, MD",Cecil
2022-02-11,"218 THOMAS JEFFERSON TE ELKTON, MD",Cecil
2022-11-04,"22 MATTHEW BATHON CT ELKTON, MD",Cecil
2022-02-17,"221 BELLE HILL RD ELKTON, MD",Cecil
2022-06-04,"223 DOUGLAS ST ELKTON, MD",Cecil
2022-05-26,"2289 BLUEBALL RD ELKTON, MD",Cecil
2022-08-18,"2289 BLUEBALL RD ELKTON, MD",Cecil
2022-01-19,"23 CIRCLE AVE ELKTON, MD",Cecil
2022-12-31,"23 STONEY CHASE DR ELKTON, MD",Cecil
2022-02-14,"234 W HIGH ST ELKTON, MD",Cecil
2022-02-12,"238 W HIGH ST ELKTON, MD",Cecil
2022-02-26,"107 BRADLEY RUN RD ELKTON, MD",Cecil
2022-03-16,"129 E MAIN ST ELKTON, MD",Cecil
2022-04-11,"100 RAILROAD AVE ELKTON, MD",Cecil
2022-05-23,"223 BELLE HILL RD ELKTON, MD",Cecil
2022-05-24,"2031 W PULASKI HWY ELKTON, MD",Cecil
2022-06-22,"291 E PULASKI HWY ELKTON, MD",Cecil
2022-07-01,"2031 W PULASKI HWY ELKTON, MD",Cecil
2022-08-06,"122 PARKTOWNE DR ELKTON, MD",Cecil
2022-11-28,"312 GRAY MOUNT CIR ELKTON, MD",Cecil
2022-07-18,"LANDING LN/HOLLINGSWORT ELKTON, MD",Cecil
2022-04-02,"MALLARD CT/ ELKTON, MD",Cecil
2022-07-10,"MARINA PLAZA 1 ELKTON, MD",Cecil
2022-10-08,"MEADOWPARK WEST 1 ELKTON, MD",Cecil
2022-08-21,"1 WASHINGTON ST NORTH EAST, MD",Cecil
2022-03-04,"101 BEECH ST NORTH EAST, MD",Cecil
2022-10-04,"101 BEECH ST NORTH EAST, MD",Cecil
2022-04-18,"101 SUPERIOR CT NORTH EAST, MD",Cecil
2022-01-31,"105 CONOWINGO CT NORTH EAST, MD",Cecil
2022-06-13,"105 LAKESIDE DR NORTH EAST, MD",Cecil
2022-06-13,"105 LAKESIDE DR NORTH EAST, MD",Cecil
2022-06-13,"105 LAKESIDE DR NORTH EAST, MD",Cecil
2022-12-30,"105 LAKESIDE DR NORTH EAST, MD",Cecil
2022-09-19,"105 W HIGH ST NORTH EAST, MD",Cecil
2022-02-12,"109 CHAMPLAIN CT NORTH EAST, MD",Cecil
2022-03-10,"117 JETHRO ST NORTH EAST, MD",Cecil
2022-03-13,"117 JETHRO ST NORTH EAST, MD",Cecil
2022-03-18,"117 JETHRO ST NORTH EAST, MD",Cecil
2022-11-02,"125 PORTER RD NORTH EAST, MD",Cecil
2022-03-05,"127 INVERNESS DR NORTH EAST, MD",Cecil
2022-09-06,"149 N MAIN ST EXT NORTH EAST, MD",Cecil
2022-10-08,"154 WEST BRANCH CIR NORTH EAST, MD",Cecil
2022-01-09,"158 OLD ZION RD NORTH EAST, MD",Cecil
2022-11-23,"167 OLD BAYVIEW RD NORTH EAST, MD",Cecil
2022-11-17,"186 WILLARD DR NORTH EAST, MD",Cecil
2022-08-25,"201 MECHANICS VALLE NORTH EAST, MD",Cecil
2022-10-05,"211 LAKESIDE DR NORTH EAST, MD",Cecil
2022-03-02,"23 SCHOOLHOUSE LN NORTH EAST, MD",Cecil
2022-06-08,"230 W CLAIBORNE RD NORTH EAST, MD",Cecil
2022-03-23,"75 NORTH EAST RD NORTH EAST, MD",Cecil
2022-08-15,"MM 98.4 I95 SB HWY MM 98.4 I95 SB HWY NORTH EAST, MD",Cecil
2022-08-16,"10 BEECH ST NORTH EAST, MD",Cecil
