call_number,date,location,district,neighborhood,zip_code
P220062915,2022-01-06,1000 W BALTIMORE ST BALTIMORE MD,WD,Poppleton,21223
P222014181,2022-07-20,1600 HEATHFIELD RD BALTIMORE MD,NE,Perring Loch,21239
P222023753,2022-07-21,4100 PENNINGTON AV BALTIMORE MD,SD,Curtis Bay,21226
P222041820,2022-07-23,E 0TH ST and GREENMOUNT AV BALTIMORE MD,ND,Better Waverly,21218
P223571466,2022-12-23,6000 RUSK AV BALTIMORE MD,NW,Cheswolde,21209
P220912493,2022-04-01,1300 WASHINGTON BL BALTIMORE MD,SD,Washington Village/Pigtown,21230
P223011763,2022-10-28,BELAIR RD and CLIFTON PARK TE BALTIMORE MD,NE,Belair-Edison,21213
P223012633,2022-10-28,400 E 25TH ST BALTIMORE MD,ND,Harwood,21218
P223013506,2022-10-28,900 WHITELOCK ST BALTIMORE MD,CD,Reservoir Hill,21217
P220132348,2022-01-13,N CAROLINE ST and E MADISON ST BALTIMORE MD,ED,Gay Street,21205
P222061226,2022-07-25,N BROADWAY and E FAYETTE ST BALTIMORE MD,SE,Washington Hill,21231
P222062108,2022-07-25,500 BLK OTTERBEIN ST BALTIMORE MD,SD,Washington Village/Pigtown,21230
P223592152,2022-12-25,5500 FALLS RD BALTIMORE MD,ND,North Roland Park/Poplar Hill,21209
P223600666,2022-12-26,2500 RIGGS AV BALTIMORE MD,WD,Bridgeview/Greenlawn,21216
P223614215,2022-12-27,7200 PARK HEIGHTS AV BALTIMORE MD,NW,Cross Country,21208
P220922890,2022-04-02,600 N LUZERNE AV BALTIMORE MD,SE,McElderry Park,21205
P220923387,2022-04-02,METRO STATION - PENN NORTH BALTIMORE MD,WD,Penn North,21217
P220924403,2022-04-02,900 BLK DUNDALK AV BALTIMORE MD,SE,Graceland Park,21224
P220930566,2022-04-03,E LEXINGTON ST and E SARATOGA ST BALTIMORE MD,CD,Downtown,21202
P220940867,2022-04-04,3300 E FAYETTE ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P220951683,2022-04-05,BAKER ST and N MOUNT ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220193845,2022-01-19,4200 SHELDON AV BALTIMORE MD,NE,Belair-Edison,21206
P222084172,2022-07-27,600 WASHINGTON BL BALTIMORE MD,SD,Downtown West,21230
P222093026,2022-07-28,3800 W ROGERS AV BALTIMORE MD,NW,Arlington,21215
P222093214,2022-07-28,2800 WALDORF AV BALTIMORE MD,NW,Lucille Park,21215
P222093518,2022-07-28,3900 RIDGEWOOD AV BALTIMORE MD,NW,Dolfield,21215
P222101196,2022-07-29,PENNSYLVANIA AV and LAURENS ST BALTIMORE MD,CD,Upton,21217
P222101438,2022-07-29,N MARTIN LUTHER KING JR BL and PENNSYLVANIA AV BALTIMORE MD,CD,Seton Hill,21201
P222102217,2022-07-29,3800 ROLAND VIEW AV BALTIMORE MD,ND,Greenspring,21215
P223021969,2022-10-29,COLE ST and S VINCENT ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P223033691,2022-10-30,1100 N CHARLES ST BALTIMORE MD,CD,Mid-Town Belvedere,21201
P223042037,2022-10-31,1800 MARYLAND AV BALTIMORE MD,CD,Charles North,21201
P223042265,2022-10-31,1200 W BALTIMORE ST BALTIMORE MD,WD,Poppleton,21223
P223043293,2022-10-31,3900 PENNINGTON AV BALTIMORE MD,SD,Curtis Bay,21226
P223632669,2022-12-29,EDMONDSON AV and N BRICE ST BALTIMORE MD,WD,Midtown-Edmondson,21223
P223634775,2022-12-29,3600 HORTON AV BALTIMORE MD,SD,Brooklyn,21225
P223640917,2022-12-30,5700 BERKELEY AV BALTIMORE MD,ND,Mount Washington,21215
P223651949,2022-12-31,CENTRAL BOOKING BALTIMORE MD,ED,Penn-Fallsway,21202
P220953496,2022-04-05,1300 S PONCA ST BALTIMORE MD,SE,Canton Industrial Area,21224
P220981784,2022-04-08,4600 PARK HEIGHTS AV BALTIMORE MD,NW,Central Park Heights,21215
P220990035,2022-04-09,S HANOVER ST and W WEST ST BALTIMORE MD,SD,Sharp-Leadenhall,21230
P220203889,2022-01-20,1900 N FULTON AV BALTIMORE MD,WD,Mondawmin,21217
P220221179,2022-01-22,W NORTHERN PY and REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P220230467,2022-01-23,1400 UNION AV BALTIMORE MD,ND,Hampden,21211
P220242198,2022-01-24,3100 BRIGHTON ST BALTIMORE MD,SW,Rosemont,21216
P220242965,2022-01-24,6500 ST HELENA AV BALTIMORE MD,SE,Saint Helena,21222
P220243178,2022-01-24,4000 WOODRIDGE RD BALTIMORE MD,SW,Edmondson Village,21229
P222120752,2022-07-31,3900 EMMART AV BALTIMORE MD,NW,Glen,21215
P222120864,2022-07-31,1600 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P222133052,2022-08-01,W PRATT ST and S ARLINGTON AV BALTIMORE MD,SD,Hollins Market,21223
P223044916,2022-10-31,5200 YORK RD BALTIMORE MD,ND,York-Homeland,21212
P223053140,2022-11-01,100 N POTOMAC ST BALTIMORE MD,SE,Patterson Park Neighborhood,21224
P223063045,2022-11-02,1300 E NORTH AV BALTIMORE MD,ED,East Baltimore Midway,21202
P223063060,2022-11-02,1300 E NORTH AV BALTIMORE MD,ED,East Baltimore Midway,21202
P223063398,2022-11-02,W NORTH AV and WOODBROOK AV BALTIMORE MD,WD,Druid Heights,21217
P223083123,2022-11-04,2100 WINDSOR GARDENS LN BALTIMORE MD,SW,Wakefield,21207
P223083455,2022-11-04,500 N BELNORD AV BALTIMORE MD,SE,McElderry Park,21205
P220990910,2022-04-09,1100 HAVERHILL RD BALTIMORE MD,SW,Violetville,21229
P221000224,2022-04-10,1400 E FAYETTE ST BALTIMORE MD,SE,Dunbar-Broadway,21231
P221002656,2022-04-10,1600 SPRUCE ST BALTIMORE MD,SD,Curtis Bay,21226
P220272271,2022-01-27,W NORTH AV and MADISON AV BALTIMORE MD,CD,Reservoir Hill,21217
P220272440,2022-01-27,1700 BLK BANK ST BALTIMORE MD,SE,Fells Point,21231
P220272649,2022-01-27,0 W JEFFREY ST BALTIMORE MD,SD,Brooklyn,21225
P220273369,2022-01-27,6600 BLK BELAIR RD BALTIMORE MD,NE,Rosemont East,21206
P220282749,2022-01-28,3200 BRIGHTON ST BALTIMORE MD,SW,Rosemont,21216
P220283038,2022-01-28,1100 DRUID HILL AV BALTIMORE MD,CD,Upton,21201
P222151279,2022-08-03,3500 NOBLE ST BALTIMORE MD,SE,Baltimore Highlands,21224
P222154111,2022-08-03,2400 BRENTWOOD AV BALTIMORE MD,ED,Barclay,21218
P222161694,2022-08-04,2100 MARYLAND AV BALTIMORE MD,ND,Charles North,21218
P222162586,2022-08-04,HARFORD RD and BONAPARTE AV BALTIMORE MD,ED,East Baltimore Midway,21218
P222163573,2022-08-04,N EUTAW ST and W SARATOGA ST BALTIMORE MD,CD,Downtown,21201
P222172733,2022-08-05,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P223094628,2022-11-05,800 E BALTIMORE ST BALTIMORE MD,SE,Jonestown,21202
P223100822,2022-11-06,2400 REISTERSTOWN RD BALTIMORE MD,WD,Mondawmin,21217
P223102504,2022-11-06,4600 PARK HEIGHTS AV BALTIMORE MD,NW,Central Park Heights,21215
P223122877,2022-11-08,S ELLAMONT ST and HERKIMER ST BALTIMORE MD,SW,Morrell Park,21230
P221051957,2022-04-15,1000 COMET ST BALTIMORE MD,SE,Pleasant View Gardens,21202
P221054413,2022-04-15,800 N PATTERSON PARK AV BALTIMORE MD,ED,Middle East,21205
P222200036,2022-08-08,3100 BRENDAN AV BALTIMORE MD,NE,Belair-Edison,21213
P220290465,2022-01-29,3600 JUNEWAY BALTIMORE MD,NE,Belair-Edison,21213
P220303493,2022-01-30,1800 RUSSELL ST BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P220321471,2022-02-01,E PRATT ST and S BROADWAY BALTIMORE MD,SE,Washington Hill,21231
P220322613,2022-02-01,3000 HARLEM AV BALTIMORE MD,SW,Franklintown Road,21216
P223134987,2022-11-09,1900 EDMONDSON AV BALTIMORE MD,WD,Midtown-Edmondson,21223
P223154768,2022-11-11,ROCKFIELD AV and REISTERSTOWN RD BALTIMORE MD,NW,Woodmere,21215
P223162970,2022-11-12,2800 BLK JEFFERSON ST BALTIMORE MD,SE,McElderry Park,21205
P221072127,2022-04-17,S MONROE ST and WILKENS AV BALTIMORE MD,SD,Carrollton Ridge,21223
P221101021,2022-04-20,1900 MARYLAND AV BALTIMORE MD,CD,Charles North,21201
P221111593,2022-04-21,1200 N CAROLINE ST BALTIMORE MD,ED,Oliver,21213
P222221017,2022-08-10,1800 WASHINGTON BL BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P220332193,2022-02-02,0 N HOWARD ST BALTIMORE MD,CD,Downtown,21201
P220353950,2022-02-04,3900 CLARKS LN BALTIMORE MD,NW,Glen,21215
P223191157,2022-11-15,WASHBURN AV and 0TH ST BALTIMORE MD,SD,Brooklyn,21225
P223191237,2022-11-15,5200 PARK HEIGHTS AV BALTIMORE MD,NW,Pimlico Good Neighbors,21215
P223201729,2022-11-16,2300 PENNSYLVANIA AV BALTIMORE MD,WD,Sandtown-Winchester,21217
P221111994,2022-04-21,1600 RETREAT ST BALTIMORE MD,WD,Penn North,21217
P221120483,2022-04-22,300 FALLSWAY BALTIMORE MD,SE,Jonestown,21202
P221122246,2022-04-22,200 BLK N EUTAW ST BALTIMORE MD,CD,Downtown,21201
P221131136,2022-04-23,2100 HARFORD RD BALTIMORE MD,ED,Darley Park,21213
P221153558,2022-04-25,800 N MILTON AV BALTIMORE MD,ED,Milton-Montford,21205
P222250284,2022-08-13,400 BLK S CATON AV BALTIMORE MD,SW,Gwynns Falls,21229
P222253244,2022-08-13,2800 DENHAM CI N BALTIMORE MD,SD,Cherry Hill,21225
P220382410,2022-02-07,1900 BLK BAYARD ST BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P220392318,2022-02-08,PENN STATION BALTIMORE MD,CD,Charles North,21201
P223214672,2022-11-17,3600 4TH ST BALTIMORE MD,SD,Brooklyn,21225
P223242252,2022-11-20,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221182523,2022-04-28,5400 PARK HEIGHTS AV BALTIMORE MD,NW,Arlington,21215
P222271993,2022-08-15,S FULTON AV and WILKENS AV BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222272118,2022-08-15,CUMBERLAND ST and N CAREY ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222292300,2022-08-17,N GILMOR ST and BAKER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222293445,2022-08-17,1300 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P222301848,2022-08-18,1100 ABBOTT CT BALTIMORE MD,ED,Oldtown,21202
P220442199,2022-02-13,MCCULLOH ST and W NORTH AV BALTIMORE MD,CD,Druid Heights,21217
P223261965,2022-11-22,3800 BONNER RD BALTIMORE MD,NW,Concerned Citizens Of Forest Park,21216
P223262241,2022-11-22,DOVER ST and S ADDISON ST BALTIMORE MD,SD,Carrollton Ridge,21223
P223282592,2022-11-24,2800 NORFOLK AV BALTIMORE MD,NW,Park Circle,21215
P220471330,2022-02-16,1200 SCOTT ST BALTIMORE MD,SD,Washington Village/Pigtown,21230
P220481192,2022-02-17,EGERTON RD and AYRDALE AV BALTIMORE MD,NW,Callaway-Garrison,21215
P221251228,2022-05-05,500 E 23RD ST BALTIMORE MD,ED,East Baltimore Midway,21218
P221252169,2022-05-05,E MONUMENT ST and ENSOR ST BALTIMORE MD,ED,Oldtown,21202
P221274032,2022-05-07,2500 BROOKFIELD AV BALTIMORE MD,CD,Reservoir Hill,21217
P222332548,2022-08-21,4200 SHELDON AV BALTIMORE MD,NE,Belair-Edison,21206
P222352813,2022-08-23,700 N DUKELAND ST BALTIMORE MD,WD,Mosher,21216
P222354890,2022-08-23,700 DRUID PARK LAKE DR BALTIMORE MD,CD,Reservoir Hill,21217
P220490129,2022-02-18,2100 MARYLAND AV BALTIMORE MD,ND,Charles North,21218
P220500492,2022-02-19,2800 BLK WHITE AV BALTIMORE MD,NE,Hamilton Hills,21214
P220502408,2022-02-19,3000 LOUISE AV BALTIMORE MD,NE,Westfield,21214
P220502577,2022-02-19,2800 LOUISE AV BALTIMORE MD,NE,Westfield,21214
P221294350,2022-05-09,1800 APPLETON ST BALTIMORE MD,WD,Easterwood,21217
P221303821,2022-05-10,5500 SILVERBELL RD BALTIMORE MD,NE,Cedonia,21206
P221311997,2022-05-11,ST PAUL PL and E MULBERRY ST BALTIMORE MD,CD,Downtown,21202
P221312373,2022-05-11,3400 DOLFIELD AV BALTIMORE MD,NW,East Arlington,21215
P221313346,2022-05-11,1200 W NORTH AV BALTIMORE MD,WD,Druid Heights,21217
P223294629,2022-11-25,1000 WOOD HEIGHTS AV BALTIMORE MD,ND,Hoes Heights,21211
P223304558,2022-11-26,2600 GREENMOUNT AV BALTIMORE MD,ND,Better Waverly,21218
P220982257,2022-04-08,1600 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P220984065,2022-04-08,900 DESOTO RD BALTIMORE MD,SW,Wilhelm Park,21229
P220991784,2022-04-09,400 BLK S NORRIS ST BALTIMORE MD,SD,New Southwest/Mount Clare,21223
P222361162,2022-08-24,900 WHEELER AV BALTIMORE MD,WD,Bridgeview/Greenlawn,21216
P222370626,2022-08-25,1800 ARGONNE DR BALTIMORE MD,NE,Morgan State University,21218
P222373506,2022-08-25,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221330073,2022-05-13,E PATAPSCO AV and FAIRHAVEN AV BALTIMORE MD,SD,Curtis Bay,21225
P221331990,2022-05-13,W BALTIMORE ST and S CALHOUN ST BALTIMORE MD,WD,Franklin Square,21223
P223321860,2022-11-28,5300 YORK RD BALTIMORE MD,ND,Woodbourne-McCabe,21212
P223333226,2022-11-29,1500 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P223335218,2022-11-29,W LOMBARD ST and S MONROE ST BALTIMORE MD,SD,Carrollton Ridge,21223
P223340007,2022-11-29,700 BELGIAN AV BALTIMORE MD,ND,Pen Lucy,21218
P221022466,2022-04-12,LIBERTY HEIGHTS AV and AUCHENTOROLY TE BALTIMORE MD,NW,Parkview/Woodbrook,21215
P221030265,2022-04-13,3500 BEECH AV BALTIMORE MD,ND,Wyman Park,21211
P221032580,2022-04-13,METRO STATION - PENN NORTH BALTIMORE MD,WD,Penn North,21217
P222382235,2022-08-26,1000 POPLAR GROVE ST BALTIMORE MD,SW,Mosher,21216
P222382363,2022-08-26,2200 BLK MCELDERRY ST BALTIMORE MD,ED,CARE,21205
P222401742,2022-08-28,E BALTIMORE ST and N BETHEL ST BALTIMORE MD,SE,Washington Hill,21231
P220031670,2022-01-03,PARK HEIGHTS AV and W COLD SPRING LN BALTIMORE MD,NW,Central Park Heights,21215
P220040240,2022-01-04,6500 COLGATE AV BALTIMORE MD,SE,Saint Helena,21222
P220581684,2022-02-27,1800 MOSHER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220582024,2022-02-27,300 E MADISON ST BALTIMORE MD,ED,Penn-Fallsway,21202
P220591554,2022-02-28,800 GUILFORD AV BALTIMORE MD,CD,Mount Vernon,21202
P221354183,2022-05-15,W COLD SPRING LN and WABASH AV BALTIMORE MD,NW,Ashburton,21215
P221363652,2022-05-16,N MONTFORD AV and E MADISON ST BALTIMORE MD,ED,Milton-Montford,21205
P221374237,2022-05-17,1600 W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221042408,2022-04-14,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,WD,Penn North,21217
P221050248,2022-04-15,EXECUTIVE INN #RM300 BALTIMORE MD,ED,Orangeville,21224
P221051609,2022-04-15,2000 CECIL AV BALTIMORE MD,ED,East Baltimore Midway,21218
P221052253,2022-04-15,MARIE G. FARRING ELEMENTARY SCHOOL PLAYGROUND BALTIMORE MD,SD,Brooklyn,21225
P221062971,2022-04-16,N STOCKTON ST and CUMBERLAND ST BALTIMORE MD,WD,Penn North,21217
P221063030,2022-04-16,WILKENS AV and S MONROE ST BALTIMORE MD,SD,Carrollton Ridge,21223
P221063389,2022-04-16,1300 MOSHER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222402013,2022-08-28,1300 BANK ST BALTIMORE MD,SE,Little Italy,21202
P222424180,2022-08-30,E FAIRMOUNT AV and N CONKLING ST BALTIMORE MD,SE,Baltimore Highlands,21224
P222424224,2022-08-30,4100 FAIRVIEW AV BALTIMORE MD,NW,West Forest Park,21216
P222432385,2022-08-31,0TH AV and BRENTWOOD AV BALTIMORE MD,SE,Graceland Park,21222
P220091132,2022-01-09,DRUID HILL PARK POOL BALTIMORE MD,ND,Druid Hill Park,21217
P220092453,2022-01-09,1300 HOLLINS ST BALTIMORE MD,SD,Union Square,21223
P220101873,2022-01-10,2400 CALVERTON HEIGHTS AV BALTIMORE MD,WD,Bridgeview/Greenlawn,21216
P220102586,2022-01-10,1500 N MOUNT ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220102956,2022-01-10,1200 S CATON AV BALTIMORE MD,SW,Violetville,21227
P220611851,2022-03-02,3500 OLD FREDERICK RD BALTIMORE MD,SW,Irvington,21229
P220620132,2022-03-03,2500 WASHINGTON BL BALTIMORE MD,SW,Morrell Park,21230
P221402831,2022-05-20,N WASHINGTON ST and E HOFFMAN ST BALTIMORE MD,ED,Broadway East,21213
P221410060,2022-05-21,1400 BLOOMFIELD AV BALTIMORE MD,SW,Violetville,21227
P221412037,2022-05-21,N CHARLES ST and E LANVALE ST BALTIMORE MD,CD,Charles North,21201
P221412105,2022-05-21,1200 W NORTH AV BALTIMORE MD,WD,Druid Heights,21217
P223360181,2022-12-02,E NORTH AV and HARFORD AV BALTIMORE MD,ED,East Baltimore Midway,21213
P223364883,2022-12-02,4100 GRACE CT BALTIMORE MD,SD,Curtis Bay,21226
P223372808,2022-12-03,WESTSIDE SHOPPING CENTER BALTIMORE MD,SW,Millhill,21223
P221073020,2022-04-17,SPAULDING AV and PARK HEIGHTS AV BALTIMORE MD,NW,Central Park Heights,21215
P221081508,2022-04-18,THE ALAMEDA and E BELVEDERE AV BALTIMORE MD,NE,Glen Oaks,21239
P221112906,2022-04-21,EDMONDSON AV and WHEELER AV BALTIMORE MD,WD,Rosemont Homeowners/Tenants,21223
P222441407,2022-09-01,5300 MAPLE AV BALTIMORE MD,NW,Pimlico Good Neighbors,21215
P222441930,2022-09-01,2200 MT HOLLY ST BALTIMORE MD,SW,Mount Holly,21216
P222442827,2022-09-01,WESTSIDE SHOPPING CENTER BALTIMORE MD,SW,Millhill,21223
P220130078,2022-01-13,400 YALE AV BALTIMORE MD,SW,Irvington,21229
P220651687,2022-03-06,1200 W BALTIMORE ST BALTIMORE MD,WD,Poppleton,21223
P220652221,2022-03-06,3600 ELMLEY AV BALTIMORE MD,NE,Belair-Edison,21213
P220652241,2022-03-06,900 N BROADWAY BALTIMORE MD,ED,Middle East,21205
P220654252,2022-03-06,6200 REISTERSTOWN RD BALTIMORE MD,NW,Reisterstown Station,21215
P220661408,2022-03-07,1100 PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21201
P220672145,2022-03-08,2400 FREDERICK AV BALTIMORE MD,SW,Millhill,21223
P221413823,2022-05-21,DUNDALK AV and DANVILLE AV BALTIMORE MD,SE,Broening Manor,21222
P221423266,2022-05-22,900 W LEXINGTON ST BALTIMORE MD,WD,Poppleton,21223
P223400892,2022-12-06,1800 N PULASKI ST BALTIMORE MD,WD,Easterwood,21217
P223403719,2022-12-06,2500 WOODLAND AV BALTIMORE MD,ND,Cylburn,21209
P223412715,2022-12-07,1200 CLENDENIN ST BALTIMORE MD,WD,Penn North,21217
P222460807,2022-09-03,3600 W FRANKLIN ST BALTIMORE MD,SW,Allendale,21229
P222460911,2022-09-03,400 CUMMINGS CT BALTIMORE MD,CD,Upton,21201
P222462381,2022-09-03,2600 GREENMOUNT AV BALTIMORE MD,ND,Better Waverly,21218
P220152827,2022-01-15,200 E SARATOGA ST BALTIMORE MD,CD,Downtown,21202
P220183801,2022-01-18,N CALHOUN ST and BAKER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P220190121,2022-01-19,W NORTH AV and LINDEN AV BALTIMORE MD,CD,Bolton Hill,21217
P220202005,2022-01-20,1200 E FEDERAL ST BALTIMORE MD,ED,Oliver,21202
P220202099,2022-01-20,4600 YORK RD BALTIMORE MD,ND,Kernewood,21212
P220703191,2022-03-11,3300 W COLD SPRING LN BALTIMORE MD,NW,Dolfield,21215
P220703524,2022-03-11,1900 BLK N ROSEDALE ST BALTIMORE MD,SW,Northwest Community Action,21216
P222232812,2022-08-11,2600 BLK MAISEL ST BALTIMORE MD,SD,Westport,21230
P221450178,2022-05-25,800 N PATTERSON PARK AV BALTIMORE MD,ED,Middle East,21205
P221454586,2022-05-25,W PATAPSCO AV and S HANOVER ST BALTIMORE MD,SD,Brooklyn,21225
P221462365,2022-05-26,500 E 23RD ST BALTIMORE MD,ED,East Baltimore Midway,21218
P221482716,2022-05-28,2000 E PRESTON ST BALTIMORE MD,ED,Broadway East,21213
P221483490,2022-05-28,METRO STATION - PENN NORTH BALTIMORE MD,WD,Penn North,21217
P223424804,2022-12-08,600 FALLSWAY BALTIMORE MD,ED,Penn-Fallsway,21202
P223434986,2022-12-09,AIKEN ST and E NORTH AV BALTIMORE MD,ED,Oliver,21202
P223442570,2022-12-10,1800 SPENCE ST BALTIMORE MD,SW,Morrell Park,21230
P221154495,2022-04-25,1600 BUSH ST BALTIMORE MD,SD,Carroll - Camden Industrial Area,21230
P221183014,2022-04-28,3700 DOLFIELD AV BALTIMORE MD,NW,Dolfield,21215
P222502360,2022-09-07,5600 YORK RD BALTIMORE MD,ND,Homeland,21212
P222502885,2022-09-07,1000 BONAPARTE AV BALTIMORE MD,ED,East Baltimore Midway,21218
P220212198,2022-01-21,YORK RD and RADNOR AV BALTIMORE MD,ND,Richnor Springs,21212
P220232839,2022-01-23,OAKMONT AV and LITCHFIELD AV BALTIMORE MD,NW,Central Park Heights,21215
P220242068,2022-01-24,1800 RAMSAY ST BALTIMORE MD,SD,Carrollton Ridge,21223
P222250535,2022-08-13,2100 DRUID HILL AV BALTIMORE MD,CD,Druid Heights,21217
P222273798,2022-08-15,5200 BELAIR RD BALTIMORE MD,NE,Waltherson,21206
P221491214,2022-05-29,3600 S HANOVER ST BALTIMORE MD,SD,Brooklyn,21225
P221510777,2022-05-31,1600 BAKER ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P223464428,2022-12-12,600 WYANOKE AV BALTIMORE MD,ND,Pen Lucy,21218
P223473024,2022-12-13,GARRISON BL and LIBERTY HEIGHTS AV BALTIMORE MD,NW,Dorchester,21207
P222512615,2022-09-08,DUNDALK AV and HOLABIRD AV BALTIMORE MD,SE,Graceland Park,21222
P222521181,2022-09-09,700 PENNSYLVANIA AV BALTIMORE MD,CD,Seton Hill,21201
P222523333,2022-09-09,200 W BALTIMORE ST N BALTIMORE MD,CD,Downtown,21201
P222530820,2022-09-10,2000 WILKENS AV BALTIMORE MD,SD,Carrollton Ridge,21223
P220262591,2022-01-26,1700 BLK PENNSYLVANIA AV BALTIMORE MD,CD,Upton,21217
P220271583,2022-01-27,1200 N MOUNT ST BALTIMORE MD,WD,Sandtown-Winchester,21217
P222303402,2022-08-18,E NORTH AV and HOPE ST BALTIMORE MD,ED,Oliver,21202
P222303434,2022-08-18,700 EASTERN AV BALTIMORE MD,CD,Inner Harbor,21202
P221522424,2022-06-01,2700 THE ALAMEDA BALTIMORE MD,NE,Coldstream Homestead Montebello,21218
P221532788,2022-06-02,S MONROE ST and WILKENS AV BALTIMORE MD,SD,Carrollton Ridge,21223
P221532843,2022-06-02,6900 HARFORD RD BALTIMORE MD,NE,North Harford Road,21234
P221534405,2022-06-02,5100 ARBUTUS AV BALTIMORE MD,NW,Langston Hughes,21215
P221542740,2022-06-03,200 N MOUNT ST BALTIMORE MD,WD,Franklin Square,21223
P221551003,2022-06-04,4400 SHAMROCK AV BALTIMORE MD,NE,Parkside,21206
